,,,Downs,,,,,,Red Zone,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Chicago Bears,4,41,12,29.3%,5,3,60.0%,17,11,64.7%
2,Atlanta Falcons,4,44,15,34.1%,7,6,85.7%,6,4,66.7%
3,Green Bay Packers,4,55,18,32.7%,10,6,60.0%,12,7,58.3%
4,Minnesota Vikings,5,63,19,30.2%,5,3,60.0%,16,8,50.0%
5,San Francisco 49ers,5,60,20,33.3%,8,6,75.0%,16,9,56.3%
6,Denver Broncos,5,66,20,30.3%,3,0,0.0%,14,4,28.6%
7,Carolina Panthers,5,56,21,37.5%,8,5,62.5%,16,10,62.5%
8,Kansas City Chiefs,5,56,21,37.5%,11,4,36.4%,15,9,60.0%
9,Tampa Bay Buccaneers,5,58,22,37.9%,10,5,50.0%,14,10,71.4%
10,Houston Texans,5,61,22,36.1%,4,2,50.0%,11,7,63.6%
11,Arizona Cardinals,5,67,23,34.3%,10,5,50.0%,17,8,47.1%
12,Pittsburgh Steelers,4,55,23,41.8%,12,8,66.7%,15,9,60.0%
13,New York Jets,5,62,23,37.1%,3,3,100.0%,20,12,60.0%
14,New England Patriots,5,55,23,41.8%,6,2,33.3%,12,9,75.0%
15,New Orleans Saints,5,57,23,40.4%,6,3,50.0%,17,12,70.6%
16,Los Angeles Rams,5,68,24,35.3%,11,10,90.9%,15,8,53.3%
17,Buffalo Bills,5,59,24,40.7%,6,4,66.7%,15,9,60.0%
18,Detroit Lions,5,59,24,40.7%,5,2,40.0%,15,10,66.7%
19,Los Angeles Chargers,5,67,25,37.3%,9,6,66.7%,18,7,38.9%
20,Tennessee Titans,5,66,26,39.4%,8,6,75.0%,19,11,57.9%
21,Indianapolis Colts,5,59,26,44.1%,8,4,50.0%,13,8,61.5%
22,Washington Commanders,5,70,27,38.6%,9,5,55.6%,17,10,58.8%
23,Las Vegas Raiders,5,61,28,45.9%,4,3,75.0%,19,11,57.9%
24,Miami Dolphins,5,58,29,50.0%,8,7,87.5%,21,12,57.1%
25,Cleveland Browns,5,67,29,43.3%,2,1,50.0%,14,11,78.6%
26,Cincinnati Bengals,5,63,29,46.0%,6,3,50.0%,24,17,70.8%
27,New York Giants,6,76,30,39.5%,4,4,100.0%,17,10,58.8%
28,Seattle Seahawks,5,70,30,42.9%,7,4,57.1%,19,10,52.6%
29,Jacksonville Jaguars,5,66,31,47.0%,5,2,40.0%,14,8,57.1%
30,Philadelphia Eagles,6,78,33,42.3%,8,3,37.5%,17,9,52.9%
31,Baltimore Ravens,5,74,33,44.6%,12,10,83.3%,25,19,76.0%
32,Dallas Cowboys,5,71,39,54.9%,7,4,57.1%,20,13,65.0%
