Rk_conversions,Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1.0,San Francisco 49ers,101.0,48.0,47.5%,10.0,6.0,60.0%,23.0,11.0,47.8%
2.0,Los Angeles Chargers,100.0,46.0,46.0%,10.0,7.0,70.0%,24.0,10.0,41.7%
3.0,Arizona Cardinals,96.0,43.0,44.8%,7.0,4.0,57.1%,27.0,15.0,55.6%
4.0,Kansas City Chiefs,90.0,40.0,44.4%,15.0,12.0,80.0%,30.0,20.0,66.7%
5.0,New York Giants,96.0,38.0,39.6%,16.0,8.0,50.0%,24.0,11.0,45.8%
6.0,Dallas Cowboys,84.0,37.0,44.0%,8.0,6.0,75.0%,27.0,18.0,66.7%
7.0,Green Bay Packers,75.0,37.0,49.3%,7.0,5.0,71.4%,25.0,18.0,72.0%
8.0,Cleveland Browns,104.0,36.0,34.6%,16.0,10.0,62.5%,18.0,10.0,55.6%
9.0,Indianapolis Colts,77.0,36.0,46.8%,11.0,9.0,81.8%,34.0,23.0,67.6%
10.0,Cincinnati Bengals,90.0,35.0,38.9%,4.0,4.0,100.0%,18.0,12.0,66.7%
11.0,Tampa Bay Buccaneers,89.0,34.0,38.2%,10.0,5.0,50.0%,20.0,10.0,50.0%
12.0,Carolina Panthers,91.0,34.0,37.4%,18.0,12.0,66.7%,22.0,13.0,59.1%
13.0,New England Patriots,82.0,34.0,41.5%,12.0,10.0,83.3%,23.0,14.0,60.9%
14.0,Miami Dolphins,84.0,34.0,40.5%,11.0,6.0,54.5%,18.0,12.0,66.7%
15.0,Denver Broncos,95.0,34.0,35.8%,8.0,4.0,50.0%,22.0,15.0,68.2%
16.0,Atlanta Falcons,78.0,33.0,42.3%,11.0,4.0,36.4%,18.0,8.0,44.4%
17.0,Las Vegas Raiders,87.0,33.0,37.9%,11.0,5.0,45.5%,18.0,7.0,38.9%
18.0,New Orleans Saints,87.0,32.0,36.8%,11.0,3.0,27.3%,20.0,9.0,45.0%
19.0,Detroit Lions,85.0,32.0,37.6%,13.0,8.0,61.5%,29.0,21.0,72.4%
20.0,Jacksonville Jaguars,94.0,31.0,33.0%,15.0,8.0,53.3%,22.0,11.0,50.0%
21.0,Chicago Bears,77.0,31.0,40.3%,7.0,3.0,42.9%,20.0,10.0,50.0%
22.0,New York Jets,91.0,30.0,33.0%,16.0,8.0,50.0%,14.0,8.0,57.1%
23.0,Philadelphia Eagles,85.0,29.0,34.1%,12.0,9.0,75.0%,17.0,14.0,82.4%
24.0,Pittsburgh Steelers,67.0,29.0,43.3%,3.0,1.0,33.3%,18.0,13.0,72.2%
25.0,Los Angeles Rams,77.0,29.0,37.7%,12.0,8.0,66.7%,30.0,17.0,56.7%
26.0,Baltimore Ravens,69.0,28.0,40.6%,12.0,4.0,33.3%,18.0,8.0,44.4%
27.0,Buffalo Bills,68.0,28.0,41.2%,5.0,3.0,60.0%,25.0,16.0,64.0%
28.0,Washington Commanders,76.0,27.0,35.5%,9.0,5.0,55.6%,18.0,14.0,77.8%
29.0,Seattle Seahawks,81.0,27.0,33.3%,6.0,4.0,66.7%,25.0,17.0,68.0%
30.0,Tennessee Titans,92.0,26.0,28.3%,10.0,4.0,40.0%,11.0,5.0,45.5%
31.0,Minnesota Vikings,73.0,25.0,34.2%,7.0,5.0,71.4%,21.0,11.0,52.4%
32.0,Houston Texans,75.0,23.0,30.7%,11.0,7.0,63.6%,14.0,7.0,50.0%
,League Total,,,,,,,,,
