Rk_drive_averages,Tm,#Dr,Plays,Sc%,TO%,Avg_plays,Avg_yards,Avg_start,Avg_time,Avg_pts
1.0,Denver Broncos,80,466,35.0,7.5,5.8,30.4,Own 30.2,2:42,2.0
2.0,Cleveland Browns,78,472,26.9,10.3,6.1,24.3,Own 31.5,2:46,1.37
3.0,Detroit Lions,78,435,43.6,6.4,5.6,31.9,Own 34.0,2:51,2.64
4.0,Jacksonville Jaguars,78,472,32.1,7.7,6.1,30.1,Own 29.0,2:47,1.73
5.0,Tennessee Titans,77,425,28.6,15.6,5.5,21.4,Own 29.4,2:27,1.17
6.0,Tampa Bay Buccaneers,77,452,41.6,5.2,5.9,30.8,Own 30.4,2:47,2.18
7.0,Seattle Seahawks,77,422,41.6,14.3,5.5,31.7,Own 31.1,2:35,2.23
8.0,New York Jets,75,433,33.3,10.7,5.8,25.4,Own 29.1,2:41,1.59
9.0,Cincinnati Bengals,75,413,33.3,14.7,5.5,25.1,Own 27.8,2:32,1.8
10.0,Dallas Cowboys,75,462,52.0,8.0,6.2,36.4,Own 28.9,2:52,2.84
11.0,Las Vegas Raiders,75,407,28.0,16.0,5.4,25.7,Own 28.8,2:43,1.37
12.0,Los Angeles Rams,75,442,41.3,9.3,5.9,33.2,Own 31.5,2:40,2.36
13.0,New York Giants,73,471,37.0,12.3,6.5,32.2,Own 32.1,3:01,2.15
14.0,New Orleans Saints,73,457,34.2,11.0,6.3,28.5,Own 29.9,2:42,1.63
15.0,San Francisco 49ers,72,501,43.1,15.3,7.0,35.7,Own 28.6,3:09,2.01
16.0,Philadelphia Eagles,71,391,33.8,4.2,5.5,26.8,Own 27.5,2:49,2.03
17.0,Washington Commanders,71,422,40.8,11.3,5.9,33.1,Own 31.3,2:43,2.3
18.0,Carolina Panthers,70,470,38.6,11.4,6.7,32.6,Own 28.7,3:15,2.01
19.0,Arizona Cardinals,69,456,40.6,10.1,6.6,31.4,Own 31.0,3:13,2.09
20.0,Los Angeles Chargers,68,471,44.1,13.2,6.9,38.3,Own 28.1,3:18,2.21
21.0,New England Patriots,67,430,41.8,10.4,6.4,35.5,Own 30.8,3:14,2.39
22.0,Chicago Bears,67,390,43.3,7.5,5.8,30.7,Own 34.4,2:48,2.19
23.0,Minnesota Vikings,66,367,39.4,15.2,5.6,28.7,Own 28.1,2:42,1.97
24.0,Miami Dolphins,65,389,36.9,16.9,6.0,29.7,Own 30.5,2:55,2.03
25.0,Kansas City Chiefs,65,469,52.3,3.1,7.2,39.9,Own 31.4,3:29,2.92
26.0,Houston Texans,65,377,38.5,9.2,5.8,28.1,Own 32.6,2:51,1.89
27.0,Buffalo Bills,64,389,46.9,9.4,6.1,35.3,Own 28.3,3:07,2.66
28.0,Pittsburgh Steelers,63,339,42.9,7.9,5.4,28.4,Own 33.2,2:37,2.37
29.0,Atlanta Falcons,63,405,34.9,9.5,6.4,34.6,Own 28.1,3:04,1.75
30.0,Indianapolis Colts,63,417,61.9,6.3,6.6,41.2,Own 31.9,3:13,3.38
31.0,Baltimore Ravens,62,335,40.3,16.1,5.4,29.9,Own 31.8,2:41,2.24
32.0,Green Bay Packers,61,376,47.5,4.9,6.2,33.8,Own 30.1,3:02,2.61
,League Total,2258,13623,39.6,10.4,6.0,31.1,Own 30.3,2:53,2.11
