Rk_kick_and_punt_returns,Tm,Punt_Returns,Punt_return_yds,Punt_return_TD,Punt_return_lng,Punt_return_Y/R,Kick_return,Kick_return_yds,Kick_return_TD,Kick_return_lng,Kick_return_Y/Rt,Kick_return_APYd
1.0,Minnesota Vikings,18.0,176.0,0.0,29.0,9.8,26.0,652.0,0.0,38.0,25.1,3017.0
2.0,Denver Broncos,17.0,209.0,0.0,32.0,12.3,28.0,686.0,0.0,34.0,24.5,3395.0
3.0,New York Giants,16.0,149.0,0.0,21.0,9.3,29.0,791.0,0.0,46.0,27.3,3550.0
4.0,Seattle Seahawks,16.0,238.0,1.0,95.0,14.9,26.0,739.0,0.0,60.0,28.4,3588.0
5.0,Los Angeles Rams,15.0,126.0,0.0,20.0,8.4,23.0,556.0,0.0,32.0,24.2,3262.0
6.0,New York Jets,14.0,135.0,0.0,19.0,9.6,40.0,1126.0,0.0,72.0,28.2,3387.0
7.0,Tampa Bay Buccaneers,14.0,199.0,0.0,54.0,14.2,31.0,751.0,0.0,35.0,24.2,3504.0
8.0,Washington Commanders,14.0,194.0,1.0,90.0,13.9,30.0,934.0,0.0,69.0,31.1,3649.0
9.0,Houston Texans,14.0,150.0,0.0,53.0,10.7,16.0,409.0,0.0,34.0,25.6,2592.0
10.0,Cleveland Browns,13.0,103.0,0.0,16.0,7.9,27.0,644.0,0.0,32.0,23.9,2853.0
11.0,Jacksonville Jaguars,13.0,172.0,1.0,87.0,13.2,22.0,557.0,0.0,54.0,25.3,3375.0
12.0,San Francisco 49ers,13.0,115.0,0.0,18.0,8.8,22.0,534.0,0.0,38.0,24.3,3306.0
13.0,Green Bay Packers,13.0,71.0,0.0,20.0,5.5,19.0,505.0,0.0,36.0,26.6,2719.0
14.0,Detroit Lions,12.0,125.0,1.0,65.0,10.4,25.0,636.0,0.0,37.0,25.4,3378.0
15.0,Kansas City Chiefs,12.0,106.0,0.0,25.0,8.8,25.0,672.0,0.0,47.0,26.9,3471.0
16.0,Los Angeles Chargers,11.0,90.0,0.0,33.0,8.2,28.0,713.0,0.0,40.0,25.5,3562.0
17.0,Chicago Bears,11.0,121.0,0.0,22.0,11.0,26.0,670.0,0.0,44.0,25.8,3107.0
18.0,Buffalo Bills,11.0,64.0,0.0,15.0,5.8,26.0,671.0,0.0,41.0,25.8,3086.0
19.0,Carolina Panthers,11.0,66.0,0.0,15.0,6.0,22.0,514.0,0.0,45.0,23.4,3041.0
20.0,Las Vegas Raiders,10.0,106.0,0.0,25.0,10.6,28.0,744.0,0.0,38.0,26.6,2949.0
21.0,Arizona Cardinals,10.0,123.0,0.0,29.0,12.3,27.0,693.0,0.0,39.0,25.7,3179.0
22.0,Miami Dolphins,9.0,163.0,1.0,74.0,18.1,38.0,1011.0,0.0,54.0,26.6,3219.0
23.0,New England Patriots,9.0,208.0,1.0,87.0,23.1,28.0,705.0,1.0,90.0,25.2,3460.0
24.0,New Orleans Saints,8.0,112.0,0.0,40.0,14.0,32.0,758.0,0.0,43.0,23.7,3159.0
25.0,Dallas Cowboys,8.0,61.0,0.0,19.0,7.6,32.0,768.0,0.0,45.0,24.0,3691.0
26.0,Atlanta Falcons,8.0,57.0,0.0,17.0,7.1,24.0,501.0,0.0,45.0,20.9,2832.0
27.0,Baltimore Ravens,7.0,111.0,0.0,35.0,15.9,31.0,762.0,0.0,43.0,24.6,3003.0
28.0,Tennessee Titans,7.0,97.0,0.0,21.0,13.9,31.0,816.0,0.0,71.0,26.3,2818.0
29.0,Pittsburgh Steelers,7.0,66.0,0.0,17.0,9.4,24.0,623.0,0.0,37.0,26.0,2590.0
30.0,Cincinnati Bengals,6.0,78.0,0.0,23.0,13.0,33.0,793.0,0.0,37.0,24.0,2898.0
31.0,Philadelphia Eagles,5.0,48.0,0.0,15.0,9.6,32.0,704.0,0.0,39.0,22.0,2941.0
32.0,Indianapolis Colts,5.0,35.0,0.0,16.0,7.0,26.0,764.0,0.0,81.0,29.4,3620.0
,Avg Team,11.2,121.1,0.2,36.0,10.9,27.4,700.1,0.0,47.0,25.5,3193.8
,League Total,357.0,3874.0,6.0,95.0,10.9,877.0,22402.0,1.0,90.0,25.5,102201.0
,Avg Tm/G,1.7,17.9,0.0,,10.9,4.1,103.7,0.0,,25.5,473.2
