Rk_kick_and_punt_returns_against,Tm,Punt_Returns_Against,Punt_return_yds_against,Punt_return_TD_against,Punt_return_Y/R_against,Kick_return_against,Kick_return_yds_against,Kick_return_TD_against,Kick_return_Y/Rt_against
1.0,Philadelphia Eagles,20.0,271.0,0.0,13.6,30.0,667.0,0.0,22.2
2.0,Seattle Seahawks,13.0,143.0,0.0,11.0,34.0,805.0,0.0,23.7
3.0,Detroit Lions,14.0,140.0,0.0,10.0,33.0,842.0,0.0,25.5
4.0,Cincinnati Bengals,18.0,204.0,0.0,11.3,26.0,746.0,0.0,28.7
5.0,Denver Broncos,15.0,157.0,0.0,10.5,29.0,846.0,0.0,29.2
6.0,Tampa Bay Buccaneers,8.0,124.0,0.0,15.5,35.0,948.0,0.0,27.1
7.0,Arizona Cardinals,12.0,99.0,0.0,8.3,31.0,810.0,0.0,26.1
8.0,Dallas Cowboys,14.0,134.0,0.0,9.6,29.0,722.0,0.0,24.9
9.0,New York Giants,12.0,76.0,0.0,6.3,30.0,638.0,0.0,21.3
10.0,Indianapolis Colts,4.0,17.0,0.0,4.3,37.0,936.0,0.0,25.3
11.0,Cleveland Browns,16.0,186.0,1.0,11.6,25.0,648.0,0.0,25.9
12.0,San Francisco 49ers,11.0,175.0,1.0,15.9,29.0,745.0,0.0,25.7
13.0,Carolina Panthers,14.0,265.0,1.0,18.9,26.0,525.0,0.0,20.2
14.0,Los Angeles Chargers,8.0,100.0,0.0,12.5,32.0,951.0,0.0,29.7
15.0,Pittsburgh Steelers,8.0,82.0,0.0,10.3,32.0,831.0,0.0,26.0
16.0,Chicago Bears,11.0,131.0,0.0,11.9,27.0,707.0,0.0,26.2
17.0,Buffalo Bills,7.0,59.0,0.0,8.4,31.0,802.0,0.0,25.9
18.0,Washington Commanders,11.0,39.0,0.0,3.5,26.0,624.0,0.0,24.0
19.0,New England Patriots,9.0,161.0,1.0,17.9,28.0,690.0,0.0,24.6
20.0,Minnesota Vikings,10.0,86.0,0.0,8.6,26.0,659.0,0.0,25.3
21.0,Kansas City Chiefs,5.0,36.0,0.0,7.2,31.0,791.0,0.0,25.5
22.0,Houston Texans,11.0,127.0,0.0,11.5,25.0,619.0,0.0,24.8
23.0,Jacksonville Jaguars,14.0,62.0,0.0,4.4,21.0,532.0,0.0,25.3
24.0,New Orleans Saints,11.0,175.0,1.0,15.9,23.0,643.0,0.0,28.0
25.0,New York Jets,12.0,75.0,0.0,6.3,22.0,613.0,0.0,27.9
26.0,Miami Dolphins,8.0,59.0,0.0,7.4,26.0,736.0,1.0,28.3
27.0,Los Angeles Rams,10.0,142.0,0.0,14.2,24.0,434.0,0.0,18.1
28.0,Atlanta Falcons,11.0,89.0,0.0,8.1,23.0,603.0,0.0,26.2
29.0,Las Vegas Raiders,12.0,184.0,1.0,15.3,21.0,571.0,0.0,27.2
30.0,Tennessee Titans,14.0,139.0,0.0,9.9,18.0,479.0,0.0,26.6
31.0,Green Bay Packers,9.0,110.0,0.0,12.2,23.0,627.0,0.0,27.3
32.0,Baltimore Ravens,5.0,27.0,0.0,5.4,24.0,612.0,0.0,25.5
,Avg Team,11.2,121.1,0.2,10.9,27.4,700.1,0.0,25.5
,League Total,357.0,3874.0,6.0,10.9,877.0,22402.0,1.0,25.5
,Avg Tm/G,1.7,17.9,0.0,10.9,4.1,103.7,0.0,25.5
