,,,Punt Returns,,,,Kick Returns,,,
Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds,TD,Y/Rt
1,Philadelphia Eagles,6,19,265,0,13.9,27,593,0,22
2,New York Giants,6,10,47,0,4.7,25,542,0,21.7
3,Detroit Lions,5,10,85,0,8.5,25,642,0,25.7
4,Buffalo Bills,5,6,49,0,8.2,28,739,0,26.4
5,Tampa Bay Buccaneers,5,6,99,0,16.5,27,733,0,27.1
6,Arizona Cardinals,5,11,99,0,9,21,560,0,26.7
7,Dallas Cowboys,5,12,126,0,10.5,19,473,0,24.9
8,Seattle Seahawks,5,6,94,0,15.7,24,555,0,23.1
9,Cincinnati Bengals,5,14,163,0,11.6,16,435,0,27.2
10,Minnesota Vikings,5,10,86,0,8.6,19,473,0,24.9
11,Denver Broncos,5,8,97,0,12.1,21,589,0,28
12,Indianapolis Colts,5,2,8,0,4,27,675,0,25
13,Pittsburgh Steelers,4,7,73,0,10.4,21,557,0,26.5
14,Cleveland Browns,5,12,145,1,12.1,16,410,0,25.6
15,Carolina Panthers,5,10,232,1,23.2,18,347,0,19.3
16,Chicago Bears,4,10,122,0,12.2,18,464,0,25.8
17,Los Angeles Chargers,5,7,92,0,13.1,21,578,0,27.5
18,New England Patriots,5,6,125,1,20.8,21,517,0,24.6
19,Baltimore Ravens,5,5,27,0,5.4,22,587,0,26.7
20,Las Vegas Raiders,5,9,169,1,18.8,18,505,0,28.1
21,Houston Texans,5,6,60,0,10,21,503,0,24
22,Washington Commanders,5,9,35,0,3.9,18,424,0,23.6
23,San Francisco 49ers,5,8,151,1,18.9,18,481,0,26.7
24,Kansas City Chiefs,5,4,30,0,7.5,22,551,0,25
25,Jacksonville Jaguars,5,8,40,0,5,18,460,0,25.6
26,Los Angeles Rams,5,7,88,0,12.6,19,313,0,16.5
27,Tennessee Titans,5,11,92,0,8.4,14,382,0,27.3
28,New York Jets,5,7,29,0,4.1,17,464,0,27.3
29,New Orleans Saints,5,8,151,1,18.9,16,467,0,29.2
30,Miami Dolphins,5,4,41,0,10.3,20,568,1,28.4
31,Atlanta Falcons,4,7,60,0,8.6,16,436,0,27.3
32,Green Bay Packers,4,7,84,0,12,16,449,0,28.1
