Rk_conversions,Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Rk_conversions_against,3DAtt_against,3DConv_against,3D%_against,4DAtt_against,4DConv_against,4D%_against,RZAtt_against,RZTD_against,RZPct_against,Rk_drive_averages,#Dr,Plays,Sc%_x,TO%_x,Avg_plays,Avg_yards,Avg_start,Avg_time,Avg_pts,Rk_drive_averages_against,#Dr_against,Plays_against,Sc%_against,TO%_against,Avg_plays_against,Avg_yards_against,Avg_start_against,Avg_time_against,Avg_pts_against,Rk_kick_and_punt_returns,Punt_Returns,Punt_return_yds,Punt_return_TD,Punt_return_lng,Punt_return_Y/R,Kick_return,Kick_return_yds,Kick_return_TD,Kick_return_lng,Kick_return_Y/Rt,Kick_return_APYd,Rk_kick_and_punt_returns_against,Punt_Returns_Against,Punt_return_yds_against,Punt_return_TD_against,Punt_return_Y/R_against,Kick_return_against,Kick_return_yds_against,Kick_return_TD_against,Kick_return_Y/Rt_against,Rk_passing,Cmp,Passing_Att,Cmp%,Passing_yds,Passing_tds,Passing_td%,Int_thrown,Int%_thrown,Passing_lng,Y/A_passing,AY/A_passing,Y/C_passing,Y/G_passing,rate,Sk_allowed,SkYds_allowed,Sk%_allowed,NY/A_passing_x,ANY/A_passing,4QC,GWD,EXP_passing,Rk_passing_defense,Cmp_allowed,Att_allowed_passing_x,Cmp%_allowed,Passing_yds_allowed,Passing_TDs_allowed,Passing_TD%_allowed,Int_x,Passes_defended,Int%,Y/A_passing_allowed,AY/A_passing_allowed,Y/C_passing_allowed,Y/G_passing_allowed,Rate_allowed,Sk_x,SkYds,QBHits,TFL,Sk%,NY/A_passing_allowed,EXP_passing_defense,punting_rk,Pnt,Pnt_Yds_total,Y/P_x,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blk_allowed,Punting_against_rk,Pnt_against,Pnt_Yds_against,Y/P_against,Blk,Rk_rushing,Rushing_Att_x,Rushing_yds,Rushing_tds,Lng_rushing,Y/A_rushing,Y/G_rushing,Fmb,EXP_rushing,Rk_rushing_allowed,Rushing_att_allowed_x,Rushing_Yds_allowed_x,Rushing_Tds_allowed_x,Y/A_rushing_allowed_x,Y/G_rushing_allowed,EXP_rushing_allowed,Rk_scoring_offense,RshTd,RecTd,PR_TD,KR_TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk_scoring_defense,RshTD_allowed,RecTD_allowed,PR_TD_allowed,KR_TD_allowed,FblTD_allowed,IntTD_allowed,OthTD_allowed,AllTD_allowed,2PM_allowed,2PA_allowed,D2P_allowed,XPM_allowed,XPA_allowed,FGM_allowed,FGA_allowed,Sfty_allowed,Pts_allowed,Pts/G_allowed,Att_allowed_passing_y,Cmp_allowed_passing_x,Yds_allowed_passing_x,TD_allowed_passing,DADOT,Air_yards_Cmp,YAC_allowed,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk_y,Prss,Prss%,MTkl,Rk_team_defense,PA,Yds_allowed,Ply_allowed,Y/P_allowed,Takeaways,FL_forced,1stD_allowed,Cmp_allowed_passing_y,Att_allowed_passing,Yds_allowed_passing_y,TDs_allowed_passing,Int_y,NY/A_allowed_passing,1stD_allowed_passing,Rushing_att_allowed_y,Rushing_Yds_allowed_y,Rushing_Tds_allowed_y,Y/A_rushing_allowed_y,1stD_allowed_rushing,Pen_defense,Pen_yds_defense,1stPy_defense,Sc%_allowed,TO%_y,EXP_allowed,Rk_team_offense,PF,Yds,Ply,Y/P_y,TO_allowed,FL_allowed,1stD,Cmp_passing,Att_passing,Passing_Yds,Passing_TDs,Int_allowed,NY/A_passing_y,1stD_passing,Rushing_Att_y,Rushing_Yds,RushingTDs,Rushing_Y/A,Rushing_1stD,Pen_offense,Pen_Yds_offense,1stPy_offense,Sc%_y,TO%_allowed,EXP
3.0,Arizona Cardinals,96.0,43.0,44.8%,7.0,4.0,57.1%,27.0,15.0,55.6%,10.0,85.0,30.0,35.3%,13.0,7.0,53.8%,25.0,15.0,60.0%,19.0,69.0,456.0,40.6,10.1,6.6,31.4,Own 31.0,3:13,2.09,20.0,73.0,465.0,41.1,8.2,6.4,32.2,Own 28.2,2:43,2.05,21.0,10.0,123.0,0.0,29.0,12.3,27.0,693.0,0.0,39.0,25.7,3179.0,7.0,12.0,99.0,0.0,8.3,31.0,810.0,0.0,26.1,14.0,162.0,242.0,66.9,1399.0,10.0,4.1,4.0,1.7,45.0,6.5,6.5,9.6,199.9,91.6,24.0,162.0,9.0,5.3,5.3,,,36.92,25.0,169.0,266.0,63.5,1644.0,8.0,3.0,4.0,40.0,1.5,6.5,6.4,10.2,234.9,85.8,12.0,80.0,35.0,33.0,4.3,5.9,-47.3,13.0,25.0,1272.0,50.9,99.0,1113.0,44.5,63.0,3.0,12.0%,9.0,36.0%,0.0,18.0,23.0,1182.0,51.4,0.0,15.0,175.0,773.0,5.0,71.0,4.4,110.4,5.0,-2.25,14.0,170.0,706.0,7.0,4.2,100.9,4.97,15.0,5.0,10.0,,,1.0,,,16.0,,0.0,,16.0,16.0,13.0,15.0,1.0,153.0,21.9,15.0,7.0,8.0,,,1.0,,,16.0,,2.0,,13.0,14.0,15.0,17.0,,154.0,22.0,266.0,169.0,1644.0,8.0,7.8,1014.0,705.0,59.0,20.5%,16.0,5.6%,21.0,7.9%,12.0,49.0,17.0%,35.0,17.0,154.0,2350.0,448.0,5.2,7.0,3.0,150.0,169.0,266.0,1644.0,8.0,4.0,5.9,91.0,170.0,706.0,7.0,4.2,41.0,52.0,484.0,18.0,41.1,8.2,-33.31,14.0,153.0,2172.0,441.0,4.9,8.0,4.0,133.0,162.0,242.0,1399.0,10.0,4.0,5.3,80.0,175.0,773.0,5.0,4.4,38.0,54.0,393.0,15.0,40.6,10.1,29.75
16.0,Atlanta Falcons,78.0,33.0,42.3%,11.0,4.0,36.4%,18.0,8.0,44.4%,4.0,68.0,26.0,38.2%,8.0,6.0,75.0%,11.0,8.0,72.7%,29.0,63.0,405.0,34.9,9.5,6.4,34.6,Own 28.1,3:04,1.75,1.0,58.0,341.0,39.7,12.1,5.9,27.4,Own 32.3,2:52,1.95,26.0,8.0,57.0,0.0,17.0,7.1,24.0,501.0,0.0,45.0,20.9,2832.0,28.0,11.0,89.0,0.0,8.1,23.0,603.0,0.0,26.2,19.0,124.0,202.0,61.4,1368.0,5.0,2.5,3.0,1.5,69.0,7.1,6.9,11.6,228.0,85.0,9.0,70.0,4.3,6.5,6.3,,,9.51,1.0,92.0,156.0,59.0,847.0,7.0,4.5,6.0,27.0,3.8,6.0,5.2,10.2,141.2,75.1,15.0,87.0,33.0,25.0,8.8,5.0,2.59,30.0,18.0,797.0,44.3,89.0,679.0,37.7,61.0,1.0,5.6%,7.0,38.9%,0.0,3.0,22.0,1049.0,47.7,0.0,12.0,179.0,818.0,6.0,81.0,4.6,136.3,6.0,10.49,19.0,157.0,744.0,4.0,4.7,124.0,-8.44,8.0,6.0,5.0,,,,,,11.0,,0.0,,11.0,11.0,11.0,15.0,,110.0,18.3,8.0,4.0,7.0,,,,1.0,,12.0,1.0,1.0,,10.0,11.0,12.0,13.0,,120.0,20.0,156.0,92.0,847.0,7.0,9.4,598.0,337.0,74.0,39.8%,6.0,3.2%,11.0,7.1%,15.0,32.0,17.2%,17.0,3.0,120.0,1591.0,328.0,4.9,9.0,3.0,98.0,92.0,156.0,847.0,7.0,6.0,5.0,50.0,157.0,744.0,4.0,4.7,41.0,36.0,304.0,7.0,39.7,12.1,-3.6,30.0,110.0,2186.0,390.0,5.6,6.0,3.0,124.0,124.0,202.0,1368.0,5.0,3.0,6.5,69.0,179.0,818.0,6.0,4.6,43.0,33.0,230.0,12.0,34.9,9.5,17.8
26.0,Baltimore Ravens,69.0,28.0,40.6%,12.0,4.0,33.3%,18.0,8.0,44.4%,26.0,84.0,37.0,44.0%,14.0,11.0,78.6%,30.0,21.0,70.0%,31.0,62.0,335.0,40.3,16.1,5.4,29.9,Own 31.8,2:41,2.24,7.0,65.0,418.0,53.8,4.6,6.4,34.9,Own 34.9,2:58,3.03,27.0,7.0,111.0,0.0,35.0,15.9,31.0,762.0,0.0,43.0,24.6,3003.0,32.0,5.0,27.0,0.0,5.4,24.0,612.0,0.0,25.5,31.0,112.0,163.0,68.7,1098.0,10.0,6.1,5.0,3.1,56.0,7.6,7.5,11.1,183.0,98.7,20.0,142.0,10.9,6.0,5.9,,,4.83,17.0,148.0,216.0,68.5,1479.0,14.0,6.5,1.0,14.0,0.5,7.1,8.2,10.4,246.5,108.4,8.0,53.0,28.0,25.0,3.6,6.6,-64.23,31.0,17.0,853.0,50.2,27.0,786.0,46.2,63.0,2.0,11.8%,6.0,35.3%,0.0,2.0,17.0,736.0,43.3,1.0,16.0,142.0,757.0,6.0,71.0,5.3,126.2,9.0,-1.17,20.0,179.0,806.0,9.0,4.5,134.3,-14.31,32.0,6.0,10.0,,,1.0,,,17.0,,1.0,,15.0,16.0,9.0,10.0,,144.0,24.0,32.0,9.0,14.0,,,,,,23.0,,3.0,,20.0,20.0,12.0,15.0,,194.0,32.3,216.0,148.0,1479.0,14.0,7.9,929.0,585.0,58.0,24.6%,9.0,3.8%,18.0,8.3%,8.0,35.0,14.8%,41.0,29.0,194.0,2285.0,403.0,5.7,3.0,2.0,136.0,148.0,216.0,1479.0,14.0,1.0,6.6,79.0,179.0,806.0,9.0,4.5,48.0,34.0,254.0,9.0,53.8,4.6,-72.41,23.0,144.0,1855.0,325.0,5.7,10.0,5.0,103.0,112.0,163.0,1098.0,10.0,5.0,6.0,55.0,142.0,757.0,6.0,5.3,38.0,38.0,274.0,10.0,40.3,16.1,4.43
27.0,Buffalo Bills,68.0,28.0,41.2%,5.0,3.0,60.0%,25.0,16.0,64.0%,8.0,71.0,29.0,40.8%,7.0,4.0,57.1%,18.0,10.0,55.6%,27.0,64.0,389.0,46.9,9.4,6.1,35.3,Own 28.3,3:07,2.66,4.0,62.0,353.0,40.3,8.1,5.7,31.3,Own 31.6,2:36,2.24,18.0,11.0,64.0,0.0,15.0,5.8,26.0,671.0,0.0,41.0,25.8,3086.0,17.0,7.0,59.0,0.0,8.4,31.0,802.0,0.0,25.9,20.0,123.0,180.0,68.3,1364.0,11.0,6.1,4.0,2.2,51.0,7.9,8.2,11.6,227.3,103.2,12.0,65.0,6.3,7.1,7.3,1.0,2.0,55.34,2.0,106.0,165.0,64.2,1003.0,7.0,4.2,2.0,16.0,1.2,6.6,6.9,10.3,167.2,92.2,15.0,84.0,28.0,35.0,8.3,5.6,-4.29,28.0,19.0,809.0,42.6,59.0,746.0,39.3,50.0,0.0,0.0%,8.0,42.1%,0.0,5.0,25.0,1205.0,48.2,0.0,6.0,186.0,906.0,9.0,44.0,4.9,151.0,8.0,18.66,28.0,163.0,938.0,9.0,5.8,156.3,-31.75,17.0,9.0,11.0,,,,,,20.0,,3.0,,17.0,17.0,10.0,11.0,,167.0,27.8,17.0,9.0,7.0,,,,,,16.0,,1.0,,14.0,15.0,9.0,10.0,,137.0,22.8,165.0,106.0,1003.0,7.0,6.9,560.0,526.0,47.0,24.2%,25.0,12.9%,12.0,7.3%,15.0,52.0,26.8%,34.0,10.0,137.0,1941.0,343.0,5.7,5.0,3.0,114.0,106.0,165.0,1003.0,7.0,2.0,5.6,54.0,163.0,938.0,9.0,5.8,51.0,36.0,312.0,9.0,40.3,8.1,-30.82,11.0,167.0,2270.0,378.0,6.0,6.0,2.0,139.0,123.0,180.0,1364.0,11.0,4.0,7.1,73.0,186.0,906.0,9.0,4.9,50.0,44.0,351.0,16.0,46.9,9.4,65.09
12.0,Carolina Panthers,91.0,34.0,37.4%,18.0,12.0,66.7%,22.0,13.0,59.1%,16.0,83.0,33.0,39.8%,11.0,7.0,63.6%,21.0,12.0,57.1%,18.0,70.0,470.0,38.6,11.4,6.7,32.6,Own 28.7,3:15,2.01,14.0,69.0,404.0,37.7,10.1,5.9,30.0,Own 30.4,2:47,2.0,19.0,11.0,66.0,0.0,15.0,6.0,22.0,514.0,0.0,45.0,23.4,3041.0,13.0,14.0,265.0,1.0,18.9,26.0,525.0,0.0,20.2,23.0,147.0,237.0,62.0,1306.0,12.0,5.1,5.0,2.1,40.0,5.9,6.0,9.6,186.6,86.6,12.0,100.0,4.8,5.2,5.3,2.0,2.0,11.62,12.0,141.0,221.0,63.8,1422.0,10.0,4.5,6.0,28.0,2.7,6.7,6.4,10.6,203.1,87.1,11.0,69.0,24.0,25.0,4.7,6.1,-38.46,19.0,23.0,1082.0,47.0,265.0,797.0,34.7,68.0,1.0,4.3%,10.0,43.5%,0.0,13.0,25.0,1233.0,49.3,0.0,2.0,208.0,981.0,3.0,53.0,4.7,140.1,8.0,14.32,9.0,159.0,648.0,5.0,4.1,92.6,17.48,14.0,3.0,12.0,,,,1.0,,16.0,,2.0,,13.0,14.0,12.0,13.0,,145.0,20.7,14.0,5.0,10.0,1.0,,1.0,,,17.0,,0.0,,17.0,17.0,11.0,13.0,,152.0,21.7,221.0,141.0,1422.0,10.0,7.9,801.0,672.0,47.0,19.0%,11.0,4.5%,11.0,5.0%,11.0,33.0,13.4%,31.0,15.0,152.0,2070.0,391.0,5.3,7.0,1.0,110.0,141.0,221.0,1422.0,10.0,6.0,6.1,71.0,159.0,648.0,5.0,4.1,34.0,53.0,393.0,5.0,37.7,10.1,-15.99,22.0,145.0,2287.0,457.0,5.0,9.0,4.0,147.0,147.0,237.0,1306.0,12.0,5.0,5.2,78.0,208.0,981.0,3.0,4.7,53.0,42.0,350.0,16.0,38.6,11.4,15.95
21.0,Chicago Bears,77.0,31.0,40.3%,7.0,3.0,42.9%,20.0,10.0,50.0%,1.0,59.0,18.0,30.5%,8.0,4.0,50.0%,19.0,13.0,68.4%,22.0,67.0,390.0,43.3,7.5,5.8,30.7,Own 34.4,2:48,2.19,8.0,66.0,344.0,37.9,24.2,5.2,30.8,Own 30.2,2:34,2.23,17.0,11.0,121.0,0.0,22.0,11.0,26.0,670.0,0.0,44.0,25.8,3107.0,16.0,11.0,131.0,0.0,11.9,27.0,707.0,0.0,26.2,24.0,115.0,188.0,61.2,1303.0,9.0,4.8,3.0,1.6,65.0,7.3,7.6,12.0,217.2,92.9,11.0,75.0,5.5,6.5,6.8,2.0,2.0,29.22,9.0,123.0,172.0,71.5,1274.0,15.0,8.7,11.0,27.0,6.4,7.7,6.6,10.8,212.3,96.3,12.0,56.0,27.0,27.0,6.5,6.9,-34.18,23.0,22.0,1037.0,47.1,131.0,886.0,40.3,62.0,1.0,4.5%,7.0,31.8%,0.0,12.0,17.0,799.0,47.0,0.0,14.0,175.0,776.0,6.0,24.0,4.4,129.3,7.0,0.41,21.0,155.0,826.0,4.0,5.3,137.7,2.83,25.0,6.0,9.0,,,,1.0,,16.0,,2.0,,14.0,14.0,14.0,16.0,,152.0,25.3,25.0,4.0,15.0,,,,,,19.0,2.0,3.0,,16.0,16.0,7.0,11.0,,155.0,25.8,172.0,123.0,1274.0,15.0,7.7,732.0,562.0,44.0,22.6%,12.0,6.2%,13.0,7.6%,12.0,37.0,19.0%,42.0,19.0,155.0,2100.0,339.0,6.2,16.0,5.0,117.0,123.0,172.0,1274.0,15.0,11.0,6.9,60.0,155.0,826.0,4.0,5.3,42.0,30.0,209.0,15.0,37.9,24.2,-25.92,16.0,152.0,2079.0,374.0,5.6,5.0,2.0,116.0,115.0,188.0,1303.0,9.0,3.0,6.5,62.0,175.0,776.0,6.0,4.4,47.0,53.0,454.0,7.0,43.3,7.5,18.74
10.0,Cincinnati Bengals,90.0,35.0,38.9%,4.0,4.0,100.0%,18.0,12.0,66.7%,30.0,84.0,41.0,48.8%,7.0,4.0,57.1%,32.0,23.0,71.9%,9.0,75.0,413.0,33.3,14.7,5.5,25.1,Own 27.8,2:32,1.8,24.0,75.0,463.0,44.0,12.0,6.2,36.8,Own 33.0,3:04,2.65,30.0,6.0,78.0,0.0,23.0,13.0,33.0,793.0,0.0,37.0,24.0,2898.0,4.0,18.0,204.0,0.0,11.3,26.0,746.0,0.0,28.7,15.0,161.0,252.0,63.9,1399.0,13.0,5.2,8.0,3.2,64.0,6.0,5.6,9.4,199.9,84.2,18.0,108.0,6.7,5.2,4.8,2.0,2.0,-5.38,31.0,162.0,237.0,68.4,1800.0,17.0,7.2,8.0,30.0,3.4,7.8,7.8,11.5,257.1,101.6,11.0,58.0,28.0,22.0,4.4,7.3,-70.36,3.0,34.0,1779.0,52.3,204.0,1435.0,42.2,70.0,7.0,20.6%,11.0,32.4%,0.0,30.0,22.0,1010.0,45.9,0.0,32.0,131.0,482.0,2.0,37.0,3.7,68.9,7.0,-0.24,29.0,206.0,961.0,8.0,4.7,137.3,-18.71,31.0,2.0,13.0,,,,,,15.0,1.0,1.0,,14.0,14.0,10.0,12.0,,136.0,19.4,31.0,8.0,17.0,,,1.0,1.0,,27.0,,0.0,,26.0,27.0,8.0,9.0,1.0,214.0,30.6,237.0,162.0,1800.0,17.0,7.2,778.0,1080.0,37.0,14.2%,17.0,6.5%,16.0,6.8%,11.0,44.0,16.9%,79.0,32.0,214.0,2761.0,454.0,6.1,9.0,1.0,160.0,162.0,237.0,1800.0,17.0,8.0,7.3,93.0,206.0,961.0,8.0,4.7,57.0,53.0,440.0,10.0,44.0,12.0,-86.83,25.0,136.0,1881.0,401.0,4.7,11.0,3.0,124.0,161.0,252.0,1399.0,13.0,8.0,5.2,73.0,131.0,482.0,2.0,3.7,31.0,38.0,254.0,20.0,33.3,14.7,-11.29
8.0,Cleveland Browns,104.0,36.0,34.6%,16.0,10.0,62.5%,18.0,10.0,55.6%,20.0,93.0,35.0,37.6%,6.0,3.0,50.0%,17.0,12.0,70.6%,2.0,78.0,472.0,26.9,10.3,6.1,24.3,Own 31.5,2:46,1.37,27.0,77.0,409.0,33.8,9.1,5.3,23.1,Own 30.1,2:39,1.79,10.0,13.0,103.0,0.0,16.0,7.9,27.0,644.0,0.0,32.0,23.9,2853.0,11.0,16.0,186.0,1.0,11.6,25.0,648.0,0.0,25.9,27.0,157.0,267.0,58.8,1247.0,5.0,1.9,6.0,2.2,35.0,5.1,4.5,8.7,178.1,69.2,19.0,114.0,6.6,4.4,3.8,1.0,1.0,-41.43,5.0,131.0,200.0,65.5,1216.0,12.0,6.0,5.0,25.0,2.5,6.7,6.8,10.3,173.7,94.3,18.0,129.0,36.0,46.0,8.3,5.6,-12.15,1.0,39.0,1741.0,44.6,186.0,1455.0,36.4,67.0,6.0,15.4%,14.0,35.9%,1.0,32.0,32.0,1620.0,50.6,0.0,25.0,174.0,648.0,6.0,46.0,3.7,92.6,4.0,0.91,5.0,177.0,577.0,3.0,3.3,82.4,36.58,13.0,6.0,5.0,,,,1.0,,12.0,,0.0,,11.0,12.0,10.0,12.0,,113.0,16.1,13.0,3.0,12.0,1.0,,1.0,,,17.0,,0.0,,17.0,17.0,11.0,14.0,,152.0,21.7,200.0,131.0,1216.0,12.0,7.5,663.0,646.0,60.0,26.4%,14.0,6.2%,15.0,7.5%,18.0,47.0,20.7%,38.0,16.0,152.0,1793.0,395.0,4.5,8.0,3.0,106.0,131.0,200.0,1216.0,12.0,5.0,5.6,65.0,177.0,577.0,3.0,3.3,29.0,61.0,383.0,12.0,33.8,9.1,31.47,29.0,113.0,1895.0,460.0,4.1,8.0,2.0,122.0,157.0,267.0,1247.0,5.0,6.0,4.4,63.0,174.0,648.0,6.0,3.7,43.0,48.0,388.0,16.0,26.9,10.3,-47.15
6.0,Dallas Cowboys,84.0,37.0,44.0%,8.0,6.0,75.0%,27.0,18.0,66.7%,32.0,95.0,49.0,51.6%,10.0,5.0,50.0%,27.0,18.0,66.7%,10.0,75.0,462.0,52.0,8.0,6.2,36.4,Own 28.9,2:52,2.84,25.0,75.0,476.0,48.0,8.0,6.3,37.4,Own 27.4,3:00,2.72,25.0,8.0,61.0,0.0,19.0,7.6,32.0,768.0,0.0,45.0,24.0,3691.0,8.0,14.0,134.0,0.0,9.6,29.0,722.0,0.0,24.9,2.0,188.0,264.0,71.2,1879.0,16.0,6.1,4.0,1.5,74.0,7.3,7.8,10.2,268.4,105.7,8.0,43.0,2.9,6.9,7.4,2.0,1.0,100.56,32.0,164.0,238.0,68.9,1822.0,16.0,6.7,3.0,15.0,1.3,8.1,8.9,11.8,260.3,110.6,15.0,116.0,41.0,34.0,5.9,7.2,-64.13,18.0,23.0,1069.0,46.5,134.0,935.0,40.7,60.0,0.0,0.0%,8.0,34.8%,0.0,15.0,23.0,1100.0,47.8,0.0,10.0,175.0,855.0,8.0,66.0,4.9,122.1,6.0,10.31,31.0,211.0,989.0,8.0,4.7,141.3,-25.68,30.0,8.0,16.0,,,,1.0,,25.0,1.0,1.0,1.0,23.0,24.0,15.0,15.0,,222.0,31.7,30.0,8.0,16.0,,,,,,24.0,2.0,3.0,,20.0,21.0,12.0,12.0,1.0,206.0,29.4,238.0,164.0,1822.0,16.0,8.2,1030.0,908.0,66.0,24.2%,41.0,15.0%,26.0,10.9%,15.0,82.0,30.0%,48.0,31.0,206.0,2811.0,464.0,6.1,6.0,3.0,163.0,164.0,238.0,1822.0,16.0,3.0,7.2,81.0,211.0,989.0,8.0,4.7,69.0,63.0,600.0,13.0,48.0,8.0,-80.32,2.0,222.0,2734.0,447.0,6.1,6.0,2.0,161.0,188.0,264.0,1879.0,16.0,4.0,6.9,93.0,175.0,855.0,8.0,4.9,46.0,58.0,475.0,22.0,52.0,8.0,106.4
15.0,Denver Broncos,95.0,34.0,35.8%,8.0,4.0,50.0%,22.0,15.0,68.2%,7.0,96.0,28.0,29.2%,7.0,3.0,42.9%,16.0,6.0,37.5%,1.0,80.0,466.0,35.0,7.5,5.8,30.4,Own 30.2,2:42,2.0,32.0,81.0,443.0,34.6,4.9,5.5,23.7,Own 28.5,2:31,1.58,2.0,17.0,209.0,0.0,32.0,12.3,28.0,686.0,0.0,34.0,24.5,3395.0,5.0,15.0,157.0,0.0,10.5,29.0,846.0,0.0,29.2,12.0,160.0,256.0,62.5,1506.0,11.0,4.3,4.0,1.6,52.0,6.1,6.2,9.7,215.1,87.3,8.0,50.0,3.0,5.7,5.9,3.0,3.0,25.37,7.0,124.0,222.0,55.9,1259.0,7.0,3.2,2.0,39.0,0.9,6.6,6.8,11.8,179.9,82.8,34.0,202.0,73.0,35.0,13.3,4.9,-1.42,2.0,36.0,1729.0,48.0,157.0,1492.0,41.4,63.0,4.0,11.1%,18.0,50.0%,0.0,31.0,41.0,2024.0,49.4,0.0,4.0,192.0,923.0,8.0,50.0,4.8,131.9,5.0,4.53,10.0,170.0,653.0,4.0,3.8,93.3,9.56,4.0,8.0,11.0,,,,,,19.0,3.0,3.0,,16.0,16.0,9.0,10.0,,163.0,23.3,4.0,4.0,7.0,,,,,,11.0,,1.0,,8.0,10.0,17.0,17.0,1.0,127.0,18.1,222.0,124.0,1259.0,7.0,9.8,775.0,623.0,75.0,28.3%,22.0,8.3%,31.0,14.0%,34.0,87.0,32.8%,40.0,7.0,127.0,1912.0,426.0,4.5,5.0,3.0,121.0,124.0,222.0,1259.0,7.0,2.0,4.9,66.0,170.0,653.0,4.0,3.8,32.0,57.0,395.0,23.0,34.6,4.9,17.04,12.0,163.0,2429.0,456.0,5.3,7.0,3.0,141.0,160.0,256.0,1506.0,11.0,4.0,5.7,78.0,192.0,923.0,8.0,4.8,45.0,61.0,575.0,18.0,35.0,7.5,30.54
