Punting_against_rk,Tm,Pnt_against,Pnt_Yds_against,Y/P_against,Blk
1.0,Indianapolis Colts,14.0,614.0,43.9,1.0
2.0,Baltimore Ravens,17.0,736.0,43.3,1.0
3.0,Atlanta Falcons,22.0,1049.0,47.7,0.0
4.0,Kansas City Chiefs,21.0,1017.0,48.4,0.0
5.0,Buffalo Bills,25.0,1205.0,48.2,0.0
6.0,Pittsburgh Steelers,17.0,797.0,46.9,0.0
7.0,Green Bay Packers,22.0,1063.0,48.3,0.0
8.0,San Francisco 49ers,27.0,1353.0,50.1,0.0
9.0,Los Angeles Chargers,23.0,1103.0,48.0,0.0
10.0,Washington Commanders,25.0,1216.0,48.6,0.0
11.0,Los Angeles Rams,27.0,1317.0,48.8,0.0
12.0,Chicago Bears,17.0,799.0,47.0,0.0
13.0,Carolina Panthers,25.0,1233.0,49.3,0.0
14.0,Miami Dolphins,17.0,828.0,48.7,0.0
15.0,Dallas Cowboys,23.0,1100.0,47.8,0.0
16.0,New England Patriots,23.0,999.0,43.4,0.0
17.0,Houston Texans,30.0,1366.0,45.5,1.0
18.0,Arizona Cardinals,23.0,1182.0,51.4,0.0
19.0,New Orleans Saints,20.0,884.0,44.2,0.0
20.0,Minnesota Vikings,29.0,1383.0,47.7,0.0
21.0,Seattle Seahawks,33.0,1590.0,48.2,1.0
22.0,Las Vegas Raiders,25.0,1115.0,44.6,0.0
23.0,Detroit Lions,28.0,1376.0,49.1,0.0
24.0,New York Giants,29.0,1419.0,48.9,0.0
25.0,New York Jets,32.0,1469.0,45.9,0.0
26.0,Jacksonville Jaguars,29.0,1370.0,47.2,0.0
27.0,Tampa Bay Buccaneers,24.0,1186.0,49.4,0.0
28.0,Tennessee Titans,25.0,1151.0,46.0,0.0
29.0,Philadelphia Eagles,22.0,944.0,42.9,1.0
30.0,Cincinnati Bengals,22.0,1010.0,45.9,0.0
31.0,Denver Broncos,41.0,2024.0,49.4,0.0
32.0,Cleveland Browns,32.0,1620.0,50.6,0.0
,Avg Team,24.7,1172.4,47.6,0.2
,League Total,789.0,37518.0,47.6,5.0
,Avg Tm/G,3.7,173.7,47.6,0.0
