Rk_scoring_offense,Tm,RshTd,RecTd,PR_TD,KR_TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1.0,Houston Texans,3.0,9.0,,,1.0,,,13.0,,3.0,,10.0,10.0,13.0,15.0,,127.0,21.2
2.0,Los Angeles Rams,4.0,17.0,,,,,,21.0,,0.0,,19.0,21.0,10.0,14.0,,175.0,25.0
3.0,Kansas City Chiefs,8.0,14.0,,,,,,22.0,,1.0,,18.0,21.0,12.0,15.0,,186.0,26.6
4.0,Denver Broncos,8.0,11.0,,,,,,19.0,3.0,3.0,,16.0,16.0,9.0,10.0,,163.0,23.3
5.0,New England Patriots,7.0,12.0,1.0,1.0,1.0,,,22.0,2.0,2.0,,18.0,20.0,9.0,10.0,,181.0,25.9
6.0,Seattle Seahawks,8.0,12.0,1.0,,,,1.0,22.0,,0.0,,22.0,22.0,13.0,17.0,,193.0,27.6
7.0,San Francisco 49ers,3.0,10.0,,,,,,13.0,1.0,1.0,,11.0,12.0,18.0,20.0,,145.0,20.7
8.0,Atlanta Falcons,6.0,5.0,,,,,,11.0,,0.0,,11.0,11.0,11.0,15.0,,110.0,18.3
9.0,Indianapolis Colts,16.0,10.0,,,,1.0,,27.0,2.0,5.0,,21.0,22.0,15.0,16.0,,232.0,33.1
10.0,Green Bay Packers,8.0,10.0,,,,,,18.0,,0.0,,17.0,18.0,11.0,13.0,,158.0,26.3
11.0,Minnesota Vikings,5.0,8.0,,,1.0,1.0,,15.0,2.0,3.0,,12.0,12.0,13.0,14.0,,145.0,24.2
12.0,Detroit Lions,10.0,16.0,1.0,,,,,27.0,,0.0,,27.0,27.0,8.0,11.0,1.0,215.0,30.7
13.0,Cleveland Browns,6.0,5.0,,,,1.0,,12.0,,0.0,,11.0,12.0,10.0,12.0,,113.0,16.1
14.0,Carolina Panthers,3.0,12.0,,,,1.0,,16.0,,2.0,,13.0,14.0,12.0,13.0,,145.0,20.7
15.0,Arizona Cardinals,5.0,10.0,,,1.0,,,16.0,,0.0,,16.0,16.0,13.0,15.0,1.0,153.0,21.9
16.0,Jacksonville Jaguars,6.0,9.0,1.0,,,1.0,,17.0,,2.0,,14.0,15.0,10.0,14.0,,146.0,20.9
17.0,Buffalo Bills,9.0,11.0,,,,,,20.0,,3.0,,17.0,17.0,10.0,11.0,,167.0,27.8
18.0,Los Angeles Chargers,2.0,13.0,,,,,,15.0,1.0,1.0,,14.0,14.0,15.0,15.0,,151.0,21.6
19.0,Pittsburgh Steelers,3.0,14.0,,,,,,17.0,1.0,1.0,,16.0,16.0,10.0,12.0,,150.0,25.0
20.0,Philadelphia Eagles,8.0,11.0,,,,1.0,2.0,22.0,,1.0,,20.0,20.0,6.0,7.0,,170.0,24.3
21.0,Washington Commanders,9.0,11.0,1.0,,,,,21.0,2.0,3.0,,18.0,18.0,10.0,14.0,1.0,180.0,25.7
22.0,Tampa Bay Buccaneers,5.0,13.0,,,,1.0,,19.0,1.0,4.0,,14.0,15.0,14.0,18.0,1.0,174.0,24.9
23.0,New York Giants,9.0,10.0,,,,,,19.0,1.0,2.0,,13.0,17.0,8.0,8.0,,153.0,21.9
24.0,Las Vegas Raiders,3.0,7.0,,,,,,10.0,1.0,2.0,,8.0,8.0,11.0,14.0,,103.0,14.7
25.0,Chicago Bears,6.0,9.0,,,,1.0,,16.0,,2.0,,14.0,14.0,14.0,16.0,,152.0,25.3
26.0,New York Jets,4.0,7.0,,,,,1.0,12.0,3.0,5.0,,7.0,7.0,14.0,14.0,1.0,129.0,18.4
27.0,New Orleans Saints,3.0,8.0,,,1.0,,,12.0,,1.0,,11.0,11.0,14.0,20.0,,125.0,17.9
28.0,Tennessee Titans,2.0,4.0,,,1.0,,,7.0,,0.0,,6.0,7.0,16.0,20.0,,96.0,13.7
29.0,Miami Dolphins,4.0,11.0,1.0,,,,,16.0,1.0,1.0,,15.0,15.0,9.0,10.0,,140.0,20.0
30.0,Dallas Cowboys,8.0,16.0,,,,1.0,,25.0,1.0,1.0,1.0,23.0,24.0,15.0,15.0,,222.0,31.7
31.0,Cincinnati Bengals,2.0,13.0,,,,,,15.0,1.0,1.0,,14.0,14.0,10.0,12.0,,136.0,19.4
32.0,Baltimore Ravens,6.0,10.0,,,1.0,,,17.0,,1.0,,15.0,16.0,9.0,10.0,,144.0,24.0
,Avg Team,5.9,10.6,0.2,,0.2,0.3,0.1,17.3,0.7,1.6,0.0,15.0,15.7,11.6,13.8,0.2,155.6,23.1
,League Total,189.0,338.0,6.0,1.0,7.0,9.0,4.0,554.0,23.0,51.0,1.0,481.0,502.0,372.0,440.0,5.0,4979.0,23.1
,Avg Tm/G,0.88,1.56,0.03,,0.03,0.04,0.02,2.56,0.11,0.24,0.0,2.23,2.32,1.72,2.04,0.02,23.1,
