Rk_team_offense,Tm,PF,Yds,Ply,Y/P,TO_allowed,FL_allowed,1stD,Cmp_passing,Att_passing,Passing_Yds,Passing_TDs,Int_allowed,NY/A_passing,1stD_passing,Rushing_Att,Rushing_Yds,RushingTDs,Rushing_Y/A,Rushing_1stD,Pen_offense,Pen_Yds_offense,1stPy_offense,Sc%,TO%_allowed,EXP
1.0,Indianapolis Colts,232.0,2662.0,419.0,6.4,4.0,1.0,165.0,153.0,217.0,1751.0,10.0,3.0,7.9,90.0,196.0,911.0,16.0,4.6,59.0,47.0,383.0,16.0,61.9,6.3,121.34
2.0,Dallas Cowboys,222.0,2734.0,447.0,6.1,6.0,2.0,161.0,188.0,264.0,1879.0,16.0,4.0,6.9,93.0,175.0,855.0,8.0,4.9,46.0,58.0,475.0,22.0,52.0,8.0,106.4
3.0,Detroit Lions,215.0,2501.0,424.0,5.9,5.0,2.0,139.0,153.0,204.0,1565.0,16.0,3.0,7.2,84.0,207.0,936.0,10.0,4.5,48.0,42.0,315.0,7.0,43.6,6.4,72.72
4.0,Seattle Seahawks,193.0,2454.0,407.0,6.0,12.0,7.0,136.0,133.0,196.0,1711.0,12.0,5.0,8.3,78.0,202.0,743.0,8.0,3.7,41.0,46.0,389.0,17.0,41.6,14.3,34.55
5.0,Kansas City Chiefs,186.0,2594.0,454.0,5.7,2.0,0.0,163.0,164.0,248.0,1730.0,14.0,2.0,6.7,91.0,195.0,864.0,8.0,4.4,62.0,47.0,388.0,10.0,52.3,3.1,85.26
6.0,New England Patriots,181.0,2403.0,420.0,5.7,7.0,5.0,140.0,153.0,204.0,1679.0,12.0,2.0,7.4,83.0,194.0,724.0,7.0,3.7,46.0,58.0,447.0,11.0,41.8,10.4,59.45
7.0,Washington Commanders,180.0,2415.0,414.0,5.8,8.0,5.0,136.0,124.0,204.0,1373.0,11.0,3.0,6.2,64.0,192.0,1042.0,9.0,5.4,53.0,53.0,429.0,19.0,40.8,11.3,36.99
8.0,Los Angeles Rams,175.0,2521.0,429.0,5.9,7.0,5.0,154.0,160.0,243.0,1797.0,17.0,2.0,7.1,92.0,175.0,724.0,4.0,4.1,42.0,38.0,314.0,20.0,41.3,9.3,60.67
9.0,Tampa Bay Buccaneers,174.0,2372.0,434.0,5.5,4.0,2.0,137.0,157.0,245.0,1675.0,13.0,2.0,6.5,78.0,175.0,697.0,5.0,4.0,40.0,46.0,372.0,19.0,41.6,5.2,37.93
10.0,Philadelphia Eagles,170.0,2008.0,401.0,5.0,3.0,2.0,120.0,136.0,195.0,1391.0,11.0,1.0,6.4,63.0,185.0,617.0,8.0,3.3,47.0,49.0,456.0,10.0,33.8,4.2,31.3
11.0,Buffalo Bills,167.0,2270.0,378.0,6.0,6.0,2.0,139.0,123.0,180.0,1364.0,11.0,4.0,7.1,73.0,186.0,906.0,9.0,4.9,50.0,44.0,351.0,16.0,46.9,9.4,65.09
12.0,Denver Broncos,163.0,2429.0,456.0,5.3,7.0,3.0,141.0,160.0,256.0,1506.0,11.0,4.0,5.7,78.0,192.0,923.0,8.0,4.8,45.0,61.0,575.0,18.0,35.0,7.5,30.54
13.0,Green Bay Packers,158.0,2060.0,363.0,5.7,3.0,1.0,125.0,122.0,176.0,1355.0,10.0,2.0,7.3,67.0,177.0,705.0,8.0,4.0,42.0,50.0,379.0,16.0,47.5,4.9,66.63
14.0,Arizona Cardinals,153.0,2172.0,441.0,4.9,8.0,4.0,133.0,162.0,242.0,1399.0,10.0,4.0,5.3,80.0,175.0,773.0,5.0,4.4,38.0,54.0,393.0,15.0,40.6,10.1,29.75
15.0,New York Giants,153.0,2356.0,463.0,5.1,9.0,3.0,152.0,137.0,230.0,1480.0,10.0,6.0,5.9,67.0,213.0,876.0,9.0,4.1,61.0,57.0,506.0,24.0,37.0,12.3,24.75
16.0,Chicago Bears,152.0,2079.0,374.0,5.6,5.0,2.0,116.0,115.0,188.0,1303.0,9.0,3.0,6.5,62.0,175.0,776.0,6.0,4.4,47.0,53.0,454.0,7.0,43.3,7.5,18.74
17.0,Los Angeles Chargers,151.0,2609.0,456.0,5.7,10.0,4.0,146.0,186.0,275.0,1831.0,13.0,6.0,6.2,91.0,160.0,778.0,2.0,4.9,41.0,52.0,379.0,14.0,44.1,13.2,30.89
18.0,Pittsburgh Steelers,150.0,1785.0,327.0,5.5,5.0,0.0,106.0,120.0,174.0,1218.0,14.0,5.0,6.7,54.0,144.0,567.0,3.0,3.9,40.0,36.0,253.0,12.0,42.9,7.9,38.52
19.0,Jacksonville Jaguars,146.0,2344.0,458.0,5.1,6.0,1.0,134.0,152.0,259.0,1506.0,9.0,5.0,5.4,76.0,179.0,838.0,6.0,4.7,45.0,65.0,528.0,13.0,32.1,7.7,8.73
20.0,San Francisco 49ers,145.0,2566.0,481.0,5.3,11.0,3.0,155.0,178.0,267.0,1899.0,10.0,8.0,6.8,100.0,200.0,667.0,3.0,3.3,43.0,44.0,358.0,12.0,43.1,15.3,27.21
21.0,Minnesota Vikings,145.0,1912.0,353.0,5.4,11.0,4.0,110.0,122.0,188.0,1289.0,8.0,7.0,6.1,64.0,142.0,623.0,5.0,4.4,36.0,47.0,367.0,10.0,39.4,15.2,-5.74
22.0,Carolina Panthers,145.0,2287.0,457.0,5.0,9.0,4.0,147.0,147.0,237.0,1306.0,12.0,5.0,5.2,78.0,208.0,981.0,3.0,4.7,53.0,42.0,350.0,16.0,38.6,11.4,15.95
23.0,Baltimore Ravens,144.0,1855.0,325.0,5.7,10.0,5.0,103.0,112.0,163.0,1098.0,10.0,5.0,6.0,55.0,142.0,757.0,6.0,5.3,38.0,38.0,274.0,10.0,40.3,16.1,4.43
24.0,Miami Dolphins,140.0,1953.0,379.0,5.2,12.0,2.0,112.0,150.0,222.0,1306.0,11.0,10.0,5.5,77.0,140.0,647.0,4.0,4.6,29.0,49.0,389.0,6.0,36.9,16.9,4.13
25.0,Cincinnati Bengals,136.0,1881.0,401.0,4.7,11.0,3.0,124.0,161.0,252.0,1399.0,13.0,8.0,5.2,73.0,131.0,482.0,2.0,3.7,31.0,38.0,254.0,20.0,33.3,14.7,-11.29
