,,,,,,,Average Drive,,,,
Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Philadelphia Eagles,6,62,341,33.9,4.8,5.5,24.9,Own 27.2,2:48,1.98
2,New York Giants,6,61,402,36.1,13.1,6.6,32.2,Own 33.1,3:07,2.00
3,Cleveland Browns,5,58,340,24.1,13.8,5.9,24.8,Own 29.6,2:41,1.28
4,Minnesota Vikings,5,57,295,35.1,14.0,5.2,26.9,Own 27.9,2:32,1.89
5,Tennessee Titans,5,57,312,29.8,12.3,5.5,20.5,Own 30.7,2:26,1.18
6,Detroit Lions,5,57,314,47.4,5.3,5.5,31.9,Own 36.0,2:50,2.89
7,Cincinnati Bengals,5,56,272,26.8,19.6,4.9,20.4,Own 28.1,2:17,1.52
8,Denver Broncos,5,56,330,35.7,8.9,5.9,31.7,Own 31.1,2:47,2.07
9,Jacksonville Jaguars,5,55,328,40.0,10.9,6.0,31.2,Own 30.5,2:50,2.07
10,Dallas Cowboys,5,54,342,50.0,11.1,6.3,37.6,Own 27.7,2:53,2.76
11,Las Vegas Raiders,5,54,318,31.5,18.5,5.9,29.9,Own 26.3,2:51,1.54
12,Buffalo Bills,5,53,335,52.8,7.5,6.3,37.2,Own 28.2,3:13,2.94
13,Los Angeles Rams,5,53,327,43.4,11.3,6.2,37.5,Own 31.6,2:45,2.36
14,Baltimore Ravens,5,53,259,45.3,13.2,4.9,29.4,Own 31.8,2:26,2.57
15,San Francisco 49ers,5,53,362,41.5,15.1,6.8,35.5,Own 28.5,3:03,2.00
16,New Orleans Saints,5,53,348,34.0,5.7,6.6,28.9,Own 30.2,2:44,1.62
17,Tampa Bay Buccaneers,5,53,333,47.2,3.8,6.3,33.4,Own 29.3,3:00,2.40
18,New York Jets,5,52,311,38.5,11.5,6.0,30.7,Own 28.3,2:50,2.00
19,Houston Texans,5,51,306,43.1,9.8,6.0,30.8,Own 33.0,3:06,2.16
20,Arizona Cardinals,5,50,311,36.0,10.0,6.2,28.8,Own 30.1,3:07,1.88
21,Los Angeles Chargers,5,50,327,38.0,12.0,6.5,35.1,Own 27.2,3:07,1.94
22,Seattle Seahawks,5,50,296,46.0,14.0,5.9,35.6,Own 30.6,2:48,2.50
23,Carolina Panthers,5,50,331,36.0,14.0,6.6,31.5,Own 28.7,3:13,1.96
24,New England Patriots,5,49,306,40.8,14.3,6.2,34.1,Own 31.2,3:00,2.29
25,Washington Commanders,5,49,302,46.9,6.1,6.2,35.6,Own 32.6,2:47,2.55
26,Kansas City Chiefs,5,47,328,51.1,4.3,7.0,38.4,Own 30.9,3:16,2.72
27,Chicago Bears,4,45,255,37.8,8.9,5.7,28.8,Own 33.6,2:43,2.11
28,Pittsburgh Steelers,4,44,222,38.6,6.8,5.0,24.1,Own 34.7,2:26,2.16
29,Indianapolis Colts,5,44,299,63.6,6.8,6.8,41.8,Own 32.9,3:23,3.27
30,Miami Dolphins,5,43,271,39.5,11.6,6.3,32.3,Own 32.1,3:09,2.30
31,Green Bay Packers,4,42,259,45.2,4.8,6.2,33.1,Own 30.0,3:01,2.50
32,Atlanta Falcons,4,42,276,38.1,11.9,6.6,34.5,Own 28.9,3:11,1.81
,League Total,,1653,9958,40.1,10.6,6.0,31.3,Own 30.4,2:53,2.15
