,,,Punt Returns,,,,,Kick Returns,,,,,
Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Minnesota Vikings,5,17,170,0,29,10.0,23,578,0,34,25.1,2565
2,New York Giants,6,13,121,0,21,9.3,26,706,0,46,27.2,3035
3,Denver Broncos,5,13,169,0,32,13.0,19,486,0,32,25.6,2461
4,Los Angeles Rams,5,12,109,0,20,9.1,20,499,0,32,25.0,2648
5,Washington Commanders,5,12,177,1,90,14.8,18,598,0,69,33.2,2610
6,Detroit Lions,5,12,125,1,65,10.4,17,442,0,37,26.0,2478
7,Green Bay Packers,4,11,57,0,20,5.2,10,258,0,35,25.8,1773
8,Houston Texans,5,11,125,0,53,11.4,10,255,0,34,25.5,2100
9,Tampa Bay Buccaneers,5,10,159,0,54,15.9,21,498,0,35,23.7,2550
10,Cleveland Browns,5,10,87,0,16,8.7,19,461,0,32,24.3,2089
11,San Francisco 49ers,5,10,82,0,18,8.2,14,320,0,38,22.9,2319
12,Chicago Bears,4,9,103,0,22,11.4,19,503,0,44,26.5,2056
13,New York Jets,5,8,89,0,19,11.1,31,854,0,41,27.5,2672
14,Buffalo Bills,5,8,43,0,15,5.4,21,557,0,41,26.5,2641
15,Kansas City Chiefs,5,8,70,0,25,8.8,21,567,0,47,27.0,2520
16,New England Patriots,5,8,202,1,87,25.3,21,536,1,90,25.5,2520
17,Seattle Seahawks,5,8,166,1,95,20.8,20,583,0,60,29.2,2651
18,Arizona Cardinals,5,8,98,0,29,12.3,20,491,0,36,24.6,2162
19,Los Angeles Chargers,5,8,82,0,33,10.3,18,435,0,30,24.2,2375
20,Miami Dolphins,5,7,144,1,74,20.6,26,667,0,54,25.7,2269
21,Carolina Panthers,5,7,31,0,13,4.4,19,429,0,35,22.6,2184
22,Jacksonville Jaguars,5,7,129,1,87,18.4,16,401,0,54,25.1,2469
23,Baltimore Ravens,5,6,76,0,23,12.7,28,701,0,43,25.0,2579
24,Tennessee Titans,5,6,82,0,21,13.7,25,666,0,71,26.6,2071
25,New Orleans Saints,5,6,91,0,40,15.2,23,553,0,43,24.0,2356
26,Las Vegas Raiders,5,6,53,0,15,8.8,23,587,0,38,25.5,2401
27,Philadelphia Eagles,6,5,48,0,15,9.6,25,518,0,39,20.7,2342
28,Cincinnati Bengals,5,5,65,0,23,13.0,24,575,0,37,24.0,1884
29,Atlanta Falcons,4,5,29,0,17,5.8,16,332,0,30,20.8,1850
30,Dallas Cowboys,5,4,38,0,19,9.5,25,610,0,45,24.4,2716
31,Indianapolis Colts,5,4,35,0,16,8.8,16,436,0,39,27.3,2510
32,Pittsburgh Steelers,4,2,9,0,12,4.5,15,370,0,33,24.7,1549
,Avg Team,,8.3,95.8,0.2,35,11.5,20.3,514.8,0.0,43,25.4,2356.4
,League Total,,266,3064,6,95,11.5,649,16472,1,90,25.4,75405
,Avg Tm/G,,1.7,19.4,0.0,,11.5,4.1,104.3,0.0,,25.4,477.2
