Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP
1,San Francisco 49ers,5,134,202,66.3,1453,10,5,5,2.5,45,7.4,7.3,11.1,290.6,94.3,7,38,3.3,7,6.8,2,3,51.23
2,Los Angeles Rams,5,122,184,66.3,1448,11,6,2,1.1,88,8.2,8.9,12.3,289.6,106.8,9,55,4.7,7.5,8.2,1,1,52.87
3,Dallas Cowboys,5,142,200,71,1361,10,5,4,2,46,7,7.1,9.8,272.2,98.7,7,36,3.4,6.6,6.7,2,1,59.43
4,Indianapolis Colts,5,108,153,70.6,1265,6,3.9,2,1.3,75,8.5,8.7,12,253,103.9,4,34,2.5,8.1,8.2,1,1,65.02
5,Seattle Seahawks,5,100,137,73,1227,9,6.6,3,2.2,53,9.2,9.5,12.6,245.4,114,6,34,4.2,8.6,8.9,0,2,59.66
6,Tampa Bay Buccaneers,5,112,172,65.1,1217,10,5.8,1,0.6,77,7.5,8.4,11.5,243.4,104.4,9,66,5,6.7,7.6,4,4,45.76
7,New York Giants,6,122,197,61.9,1212,7,3.6,5,2.5,52,6.6,6.1,10.6,202,82.3,16,82,7.5,5.7,5.3,,,8.25
8,New England Patriots,5,113,154,73.4,1207,7,4.5,2,1.3,55,8.2,8.5,11.2,241.4,107.1,17,54,9.9,7.1,7.4,0,1,56
9,Buffalo Bills,5,108,154,70.1,1207,9,5.8,2,1.3,51,8.1,8.7,11.6,241.4,108.4,8,42,4.9,7.5,8,1,2,61.71
10,Kansas City Chiefs,5,116,183,63.4,1205,8,4.4,2,1.1,49,6.9,7.3,10.8,241,93.5,7,52,3.7,6.3,6.7,,,31.71
11,Los Angeles Chargers,5,120,182,65.9,1177,8,4.4,4,2.2,60,7,6.9,10.6,235.4,91.7,17,96,8.5,5.9,5.8,1,1,11.08
12,Detroit Lions,5,110,146,75.3,1151,13,8.9,2,1.4,64,8.2,9.3,10.8,230.2,122.8,8,39,5.2,7.5,8.6,0,1,62.6
13,Philadelphia Eagles,6,117,172,68,1075,8,4.7,1,0.6,52,6.8,7.5,10,179.2,100.2,18,97,9.5,5.7,6.3,1,1,9.67
14,Denver Broncos,5,114,176,64.8,1073,8,4.5,4,2.3,52,6.3,6.2,9.7,214.6,87.9,5,30,2.8,5.9,5.8,1,1,28.06
15,Las Vegas Raiders,5,106,163,65,1051,6,3.7,9,5.5,61,7.2,5.5,11.1,210.2,75.6,16,125,8.9,5.9,4.3,,,3.15
16,Jacksonville Jaguars,5,102,169,60.4,1028,6,3.6,5,3,46,6.3,5.7,10.5,205.6,78.2,6,38,3.4,5.9,5.3,1,2,14.9
17,Minnesota Vikings,5,96,146,65.8,991,8,5.5,5,3.4,81,7.7,7.2,11.7,198.2,92.9,21,130,12.6,5.9,5.5,2,2,9.01
18,Houston Texans,5,104,148,70.3,991,8,5.4,3,2,50,7.4,7.6,10.6,198.2,101.2,12,108,7.5,6.2,6.4,,,15.69
19,Miami Dolphins,5,111,158,70.3,982,10,6.3,4,2.5,47,6.6,6.7,9.4,196.4,98.6,11,58,6.5,5.8,5.9,,,21.08
20,Baltimore Ravens,5,91,129,70.5,981,10,7.8,4,3.1,56,8.5,8.7,12.1,196.2,109.3,16,119,11,6.8,6.9,,,23.1
21,Washington Commanders,5,89,146,61,963,7,4.8,1,0.7,56,7,7.7,11.5,192.6,95.3,11,64,7,6.1,6.7,,,31.11
22,Cleveland Browns,5,115,197,58.4,962,5,2.5,6,3,35,5.2,4.3,8.9,192.4,68.2,11,62,5.3,4.6,3.8,1,1,-42.33
23,New Orleans Saints,5,120,181,66.3,952,6,3.3,2,1.1,87,5.6,5.7,8.4,190.4,87,9,57,4.7,5,5.2,,,7.2
24,Carolina Panthers,5,111,180,61.7,935,8,4.4,4,2.2,40,5.6,5.5,9.1,187,82.4,9,74,4.8,4.9,4.8,1,1,6.69
25,Green Bay Packers,4,84,121,69.4,931,8,6.6,1,0.8,57,8.3,9.2,11.9,232.8,113,8,69,6.2,7.2,8.1,1,0,44.38
26,Atlanta Falcons,4,83,132,62.9,905,3,2.3,3,2.3,69,7.2,6.6,11.4,226.3,82.5,5,42,3.6,6.6,6.1,,,7.96
27,Chicago Bears,4,83,133,62.4,903,8,6,2,1.5,65,7.2,7.7,11.5,225.8,97.8,7,51,5,6.5,7,1,1,24.34
28,New York Jets,5,104,153,68,875,7,4.6,1,0.7,33,6.6,7.2,9.7,175,98.7,16,132,9.5,5.2,5.7,,,8.91
29,Cincinnati Bengals,5,101,160,63.1,858,8,5,8,5,64,5.9,4.7,9.4,171.6,75.2,15,88,8.6,4.9,3.8,1,1,-28.13
30,Arizona Cardinals,5,110,162,67.9,851,6,3.7,3,1.9,45,5.9,5.8,8.7,170.2,88,16,111,9,4.8,4.7,,,19.66
31,Tennessee Titans,5,85,164,51.8,743,2,1.2,3,1.8,47,5.4,4.8,10.3,148.6,64,19,136,10.4,4.1,3.5,1,1,-37.29
32,Pittsburgh Steelers,4,76,110,69.1,734,8,7.3,3,2.7,80,7.3,7.5,10.5,183.5,102.8,9,64,7.6,6.2,6.4,1,2,17.11
