,,,Punting,,,
Rk,Tm,G,Pnt,Yds,Y/P,Blck
1,Indianapolis Colts,5,11,469,42.6,1
2,Atlanta Falcons,4,13,633,48.7,0
3,Buffalo Bills,5,21,1025,48.8,0
4,Kansas City Chiefs,5,12,596,49.7,0
5,Green Bay Packers,4,17,810,47.6,0
6,Carolina Panthers,5,17,847,49.8,0
7,San Francisco 49ers,5,21,1035,49.3,0
8,Seattle Seahawks,5,18,853,47.4,1
9,Los Angeles Rams,5,21,1057,50.3,0
10,Pittsburgh Steelers,4,10,464,46.4,0
11,Washington Commanders,5,20,982,49.1,0
12,Baltimore Ravens,5,15,623,41.5,1
13,Jacksonville Jaguars,5,17,768,45.2,0
14,Chicago Bears,4,13,642,49.4,0
15,Los Angeles Chargers,5,19,905,47.6,0
16,Dallas Cowboys,5,16,716,44.8,0
17,Las Vegas Raiders,5,17,789,46.4,0
18,New York Jets,5,20,902,45.1,0
19,New England Patriots,5,18,807,44.8,0
20,Miami Dolphins,5,9,476,52.9,0
21,Houston Texans,5,26,1161,44.7,1
22,Detroit Lions,5,21,1067,50.8,0
23,New Orleans Saints,5,14,611,43.6,0
24,New York Giants,6,23,1116,48.5,0
25,Arizona Cardinals,5,17,843,49.6,0
26,Tampa Bay Buccaneers,5,17,841,49.5,0
27,Tennessee Titans,5,17,834,49.1,0
28,Denver Broncos,5,28,1406,50.2,0
29,Minnesota Vikings,5,26,1237,47.6,0
30,Cincinnati Bengals,5,18,835,46.4,0
31,Philadelphia Eagles,6,21,910,43.3,1
32,Cleveland Browns,5,26,1347,51.8,0
